"subset","r"
"incl. reference",0.75344237544845
"excl. reference",0.511276081630789
"Ambisonics",0.564427630224616
"Channel/Object",0.450413228778872
"DeusExMachina",0.640261830488051
"BigBand",0.423955828117897
"KWARTET",0.475192112084258
