"metric","item","W","p","k"
"overall_measure","DeusExMachina",0.786111111111111,0.0155892101177796,9
"overall_measure","BigBand",0.892592592592593,0.00610650569492505,9
"overall_measure","KWARTET",0.877777777777778,0.00697242834598235,9
"LS","DeusExMachina",0.796296296296296,0.0142765864231177,9
"LS","BigBand",0.888888888888889,0.00631273767620505,9
"LS","KWARTET",0.740740740740741,0.0229556407152998,9
