"metric","W","chi2","df","p","p_perm","friedman_p"
"overall_measure",0.717676767676768,21.530303030303,10,0.0176846386130453,0.001769982300177,0.0174925373442329
"LS",0.935353535353535,28.0606060606061,10,0.00176534900606804,9.99990000099999e-06,0.00176534900606804
"ILDdiff",0.987878787878788,29.6363636363636,10,0.000982129807494814,9.99990000099999e-06,0.000982129807494814
"ITDdiff",0.846464646464646,25.3939393939394,10,0.00464676120942012,2.9999700003e-05,0.00464676120942012
