item,injected_samples,measured_residual,residual_after_plus,residual_after_minus
BigBand,0.3,-0.2847,-0.0141,0.4047
DeusExMachina,0.3,-0.2987,-0.0012,0.4002
KWARTET,0.3,-0.2936,-0.0062,0.4017
