item,variant,label,family,chain,ambisonic_order,is_reference,source_file,source_root,prepared_file,fs_hz,lag_samples,lag_ms,polarity,gcc_corr,gcc_peak_ratio,window_lags,window_agreement,subsample_residual,residual_lag_samples,alignment_applied,excerpt_s,crop_samples_each_end,analysed_duration_s,lufs_before,lufs_after,gain_db,true_peak_dbtp_after
BigBand,42pIKO-Atmos,42pIKO->Atmos,Channel/Object,42pIKO,NA,0,BigBand_Atmos_binaural.wav,revision,BigBand_42pIKO-Atmos.wav,48000,130,2.7083,1,0.9117,3.139,133;130;130;130;130;130;130;130;130;130;131;131;130;130;130,1.0,0.1752,0,0,60.0,29277,60.0,-27.865,-17.0,10.865,2.727
BigBand,42pIKO-Auro3D,42pIKO->Auro-3D,Channel/Object,42pIKO,NA,0,BigBand_Auro3D_binaural.wav,revision,BigBand_42pIKO-Auro3D.wav,48000,-24477,-509.9375,1,0.8324,3.008,-24476;-24477;-24477;-24477;-24477;-24477;-24476;-24477;-24476;-24478;-24476;-24477;-24477;-24477;-24477,1.0,0.161,0,0,60.0,29277,60.0,-31.629,-17.0,14.629,2.772
BigBand,42pIKO-Sony360RA,42pIKO->Sony 360RA,Channel/Object,42pIKO,NA,0,BigBand_Sony360RA_binaural.wav,revision,BigBand_42pIKO-Sony360RA.wav,48000,15,0.3125,1,0.8795,2.93,14;15;14;16;15;15;16;15;17;14;18;17;15;14;15,1.0,0.3175,0,0,60.0,29277,60.0,-34.098,-17.0,17.098,3.057
KWARTET,7OA,7OA ref.,Ambisonics,direct,7,1,KWARTET_7OA-MagLS_binaural.wav,revision,KWARTET_7OA.wav,48000,0,0.0,1,1.0,3.108,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1.0,-0.0,0,0,60.0,29277,60.0,-24.394,-17.0,7.394,-0.963
KWARTET,5OA,5OA,Ambisonics,direct,5,0,KWARTET_5OA-MagLS_binaural.wav,revision,KWARTET_5OA.wav,48000,-1,-0.0208,1,0.9909,3.09,-1;-1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;-1;-1,1.0,0.326,0,0,60.0,29277,60.0,-24.379,-17.0,7.379,-1.151
KWARTET,3OA-IAMF,3OA-IAMF,Ambisonics,direct,3,0,KWARTET_IAMF_binaural.wav,revision,KWARTET_3OA-IAMF.wav,48000,27,0.5625,1,0.7769,2.105,39;43;26;36;34;28;26;26;27;26;34;29;28;26;37,0.6,0.471,0,0,60.0,29277,60.0,-22.74,-17.0,5.74,-0.271
KWARTET,2OA-TBE,2OA-TBE,Ambisonics,direct,2,0,KWARTET_TBE_binaural.wav,revision,KWARTET_2OA-TBE.wav,48000,3569,74.3542,1,0.8583,2.823,3570;3570;3572;3568;3567;3568;3568;3568;3570;3570;3569;3570;3568;3559;3569,0.933,0.0738,0,0,60.0,29277,60.0,-18.553,-17.0,1.553,-0.611
KWARTET,1OA-YT,1OA-YT,Ambisonics,direct,1,0,KWARTET_1OA-YT_binaural.wav,revision,KWARTET_1OA-YT.wav,48000,55,1.1458,-1,0.7347,1.381,50;53;106;50;60;64;49;59;55;58;54;48;56;106;50,0.333,-0.3158,0,0,60.0,29277,60.0,-23.183,-17.0,6.183,0.219
KWARTET,42pIKO,42pIKO,Ambisonics,42pIKO,NA,0,KWARTET_42pIKO-MagLS_binaural.wav,revision,KWARTET_42pIKO.wav,48000,0,0.0,1,0.9946,3.092,0;0;1;0;0;0;0;0;0;0;0;0;0;0;0,1.0,0.2993,0,0,60.0,29277,60.0,-23.5,-17.0,6.5,-0.266
KWARTET,Atmos,Dolby Atmos,Channel/Object,direct,NA,0,KWARTET_Atmos-native_binaural.wav,revision,KWARTET_Atmos.wav,48000,131,2.7292,1,0.8871,3.286,130;131;132;129;128;130;130;131;130;131;130;131;131;131;129,1.0,-0.2857,0,0,60.0,29277,60.0,-21.995,-17.0,4.995,0.267
KWARTET,Auro3D,Auro-3D,Channel/Object,direct,NA,0,KWARTET_Auro3D-native_binaural.wav,revision,KWARTET_Auro3D.wav,48000,131,2.7292,1,0.941,2.8,132;132;132;132;130;130;130;132;131;131;131;132;132;131;131,1.0,0.3748,0,0,60.0,29277,60.0,-19.973,-17.0,2.973,-0.487
KWARTET,Sony360RA,Sony 360RA,Channel/Object,direct,NA,0,KWARTET_Sony360RA-native_binaural.wav,revision,KWARTET_Sony360RA.wav,48000,19,0.3958,1,0.8887,2.865,20;20;19;19;19;17;22;19;19;18;21;20;20;18;21,1.0,0.0513,0,0,60.0,29277,60.0,-26.158,-17.0,9.158,0.145
KWARTET,42pIKO-Atmos,42pIKO->Atmos,Channel/Object,42pIKO,NA,0,KWARTET_Atmos_binaural.wav,revision,KWARTET_42pIKO-Atmos.wav,48000,130,2.7083,1,0.9349,2.765,130;130;131;129;127;128;128;131;130;130;129;130;131;131;129,1.0,0.2278,0,0,60.0,29277,60.0,-18.893,-17.0,1.893,-0.069
KWARTET,42pIKO-Auro3D,42pIKO->Auro-3D,Channel/Object,42pIKO,NA,0,KWARTET_Auro3D_binaural.wav,revision,KWARTET_42pIKO-Auro3D.wav,48000,-24477,-509.9375,1,0.8625,2.907,-24476;-24476;-24476;-24476;-24479;-24478;-24478;-24477;-24477;-24478;-24477;-24477;-24476;-24477;-24477,1.0,0.0513,0,0,60.0,29277,60.0,-21.707,-17.0,4.707,-2.348
KWARTET,42pIKO-Sony360RA,42pIKO->Sony 360RA,Channel/Object,42pIKO,NA,0,KWARTET_Sony360RA_binaural.wav,revision,KWARTET_42pIKO-Sony360RA.wav,48000,17,0.3542,1,0.8927,2.935,18;18;17;18;18;16;16;17;17;16;20;17;18;17;22,0.933,0.1058,0,0,60.0,29277,60.0,-24.932,-17.0,7.932,-1.328
