item,variant,label,family,chain,ambisonic_order,is_reference,source_file,source_root,prepared_file,fs_hz,lag_samples,lag_ms,polarity,gcc_corr,gcc_peak_ratio,window_lags,window_agreement,subsample_residual,residual_lag_samples,alignment_applied,excerpt_s,crop_samples_each_end,analysed_duration_s,lufs_before,lufs_after,gain_db,true_peak_dbtp_after
DeusExMachina,7OA,7OA ref.,Ambisonics,direct,7,1,DeusExMachina_7OA-MagLS_binaural_N.wav,legacy,DeusExMachina_7OA.wav,48000,0,0.0,1,1.0,3.414,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1.0,-0.0,0,0,90.0,29276,90.0,-16.457,-17.0,-0.543,-2.235
DeusExMachina,5OA,5OA,Ambisonics,direct,5,0,DeusExMachina_5OA-MagLS_binaural_N.wav,legacy,DeusExMachina_5OA.wav,48000,-1,-0.0208,1,0.9959,3.388,-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,1.0,0.0343,0,0,90.0,29276,90.0,-16.592,-17.0,-0.408,-2.056
DeusExMachina,3OA-IAMF,3OA-IAMF,Ambisonics,direct,3,0,DeusExMachina_IAMF_binaural_N.wav,legacy,DeusExMachina_3OA-IAMF.wav,48000,100,2.0833,1,0.8821,3.041,100;100;100;100;101;100;100;100;100;100;100;56;100;100;100,0.933,0.0308,0,0,90.0,29276,90.0,-16.203,-17.0,-0.797,-2.41
DeusExMachina,2OA-TBE,2OA-TBE,Ambisonics,direct,2,0,DeusExMachina_TBE_binaural_N.wav,legacy,DeusExMachina_2OA-TBE.wav,48000,6,0.125,1,0.6061,1.827,5;8;38;37;6;353;36;38;10;40;2;3;6;1;5,0.4,0.2251,0,0,90.0,29276,90.0,-17.615,-17.0,0.615,-2.129
DeusExMachina,1OA-YT,1OA-YT,Ambisonics,direct,1,0,DeusExMachina_1OA-YT_binaural_N.wav,legacy,DeusExMachina_1OA-YT.wav,48000,103,2.1458,1,0.6926,2.179,103;101;103;102;105;104;103;103;103;103;103;56;103;103;104,0.933,0.2539,0,0,90.0,29276,90.0,-17.273,-17.0,0.273,-2.507
DeusExMachina,42pIKO,42pIKO,Ambisonics,42pIKO,NA,0,DeusExMachina_42pIKO-MagLS_binaural_N.wav,legacy,DeusExMachina_42pIKO.wav,48000,1,0.0208,1,0.869,3.259,1;0;0;0;1;1;0;0;0;1;1;0;0;1;1,1.0,-0.4493,0,0,90.0,29276,90.0,-15.772,-17.0,-1.228,-2.315
DeusExMachina,Atmos,Dolby Atmos,Channel/Object,direct,NA,0,DeusExMachina_Atmos-native_binaural_N.wav,legacy,DeusExMachina_Atmos.wav,48000,-893,-18.6042,1,0.6616,2.359,-897;-897;-891;-892;-893;-890;-892;-892;-892;-893;-894;-900;-895;-893;-892,0.8,0.145,0,0,90.0,29276,90.0,-15.943,-17.0,-1.057,-2.223
DeusExMachina,Auro3D,Auro-3D,Channel/Object,direct,NA,0,DeusExMachina_Auro3D-native_binaural_N.wav,legacy,DeusExMachina_Auro3D.wav,48000,131,2.7292,1,0.7201,2.512,129;129;132;131;131;133;131;131;131;131;130;128;130;131;131,1.0,0.1717,0,0,90.0,29276,90.0,-16.206,-17.0,-0.794,-2.936
DeusExMachina,Sony360RA,Sony 360RA,Channel/Object,direct,NA,0,DeusExMachina_Sony360RA-native_binaural_headphone_N.wav,legacy,DeusExMachina_Sony360RA.wav,48000,45,0.9375,1,0.6491,2.059,43;43;46;46;44;47;45;46;45;45;44;44;44;45;45,1.0,-0.209,0,0,90.0,29276,90.0,-16.545,-17.0,-0.455,-2.26
DeusExMachina,42pIKO-Atmos,42pIKO->Atmos,Channel/Object,42pIKO,NA,0,DeusExMachina_Atmos_binaural_N.wav,legacy,DeusExMachina_42pIKO-Atmos.wav,48000,-1921,-40.0208,1,0.5477,1.246,-1922;-1922;-894;-1921;-1922;-1922;-1921;-893;-1922;-1920;-1923;-1923;-1923;-893;-893,0.733,-0.4026,0,0,90.0,29276,90.0,-16.987,-17.0,-0.013,-2.646
DeusExMachina,42pIKO-Auro3D,42pIKO->Auro-3D,Channel/Object,42pIKO,NA,0,DeusExMachina_Auro3D_binaural.wav,revision,DeusExMachina_42pIKO-Auro3D.wav,48000,-24476,-509.9167,1,0.7228,2.616,-24479;-24479;-24475;-24476;-24476;-24475;-24477;-24476;-24476;-24476;-24477;-24479;-24478;-24476;-24476,1.0,-0.2616,0,0,90.0,29276,90.0,-20.274,-17.0,3.274,-2.434
DeusExMachina,42pIKO-Sony360RA,42pIKO->Sony 360RA,Channel/Object,42pIKO,NA,0,DeusExMachina_Sony360RA_binaural_headphone_N.wav,legacy,DeusExMachina_42pIKO-Sony360RA.wav,48000,41,0.8542,1,0.6847,2.352,43;42;42;41;40;41;41;42;40;42;40;43;42;41;40,1.0,0.2852,0,0,90.0,29276,90.0,-16.135,-17.0,-0.865,-1.587
BigBand,7OA,7OA ref.,Ambisonics,direct,7,1,BigBand_7OA-MagLS_binaural.wav,revision,BigBand_7OA.wav,48000,0,0.0,1,1.0,3.367,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1.0,-0.0,0,0,90.0,29277,90.0,-31.594,-17.0,14.594,0.692
