pair_id,item,anchor,variant,label,family,chain,ambisonic_order,is_anchor,SNR_dc,SNR_ac,SNR_dc_fix,SNR_ac_fix,OPM,OPM_fix,binQ,ILDdiff,ITDdiff,IVSdiff,overall_measure,vnsim_0,vnsim_1,LS,LS_mean,lag_samples,lag_ms,polarity,gcc_corr,gcc_peak_ratio,residual_lag_samples,lufs_before,gain_db,true_peak_dbtp_after,analysed_duration_s
DeusExMachina__5OA__3OA-IAMF,DeusExMachina,5OA,3OA-IAMF,3OA-IAMF,Ambisonics,direct,3,0,3.41295,2.5443,3.41295,1.21782,43.971,47.1051,79,2277.73,8.69739e-05,0.0159742,0.395702,0.3788175578304498,0.36663998909442724,0.1388896652717337,0.3727287734624385,24,0.5,1,0.8161,2.489,0,-22.329,5.329,-3.451,60.0
DeusExMachina__5OA__2OA-TBE,DeusExMachina,5OA,2OA-TBE,2OA-TBE,Ambisonics,direct,2,0,4.20868,3.25077,4.20868,0.893632,39.9796,45.3542,70,2982.82,8.08591e-05,0.0288895,0.379252,0.4076585406582665,0.3905386311735754,0.15920640845489673,0.39909858591592096,3568,74.3333,1,0.489,2.146,0,-21.153,4.153,-2.417,60.0
DeusExMachina__5OA__1OA-YT,DeusExMachina,5OA,1OA-YT,1OA-YT,Ambisonics,direct,1,0,1.42984,3.09479,1.42984,0.833797,48.8534,60.0283,60,2779.17,0.000171891,0.0277836,0.468,0.3240023748586837,0.3158678876000027,0.10234194572399664,0.3199351312293432,103,2.1458,1,0.6926,2.179,0,-21.866,4.866,-3.892,60.0
DeusExMachina__5OA__42pIKO,DeusExMachina,5OA,42pIKO,42pIKO,Ambisonics,42pIKO,NA,0,1.18919,1.53617,1.18919,0.820589,57.8512,62.1759,94,657.468,4.05973e-05,0.00604773,0.516256,0.6707675878256443,0.6589459819887408,0.4419996068459881,0.6648567849071925,0,0.0,1,0.9868,3.409,0,-22.494,5.494,-2.893,60.0
DeusExMachina__5OA__Atmos,DeusExMachina,5OA,Atmos,Dolby Atmos,Channel/Object,direct,NA,0,1.73556,3.81179,1.73556,0.545671,45.2363,59.8885,60,5005.33,9.51508e-05,0.0241131,0.468,0.32980235997268653,0.32883728523596945,0.10845131271783419,0.329319822604328,131,2.7292,1,0.598,2.565,0,-21.13,4.13,-3.15,60.0
DeusExMachina__5OA__Auro3D,DeusExMachina,5OA,Auro3D,Auro-3D,Channel/Object,direct,NA,0,1.23741,3.77208,1.23741,0.572718,47.0465,64.0651,61,4430.47,9.67554e-05,0.029005,0.4758,0.3317756022317734,0.3493108842821538,0.11589282899882487,0.3405432432569636,131,2.7292,1,0.7201,2.512,0,-22.117,5.117,-3.605,60.0
DeusExMachina__5OA__Sony360RA,DeusExMachina,5OA,Sony360RA,Sony 360RA,Channel/Object,direct,NA,0,6.97013,4.22322,6.97013,0.715297,32.7763,37.9581,56,5124,0.000111024,0.0280284,0.301939,0.3190468851671489,0.29166138947851994,0.09305365783664445,0.30535413732283445,20,0.4167,1,0.6886,2.459,0,-26.932,9.932,-1.519,60.0
DeusExMachina__5OA__42pIKO-Atmos,DeusExMachina,5OA,42pIKO-Atmos,42pIKO->Atmos,Channel/Object,42pIKO,NA,0,1.47473,3.08324,1.47473,1.06261,48.7231,57.9674,72,3084.49,0.000103109,0.0177097,0.485818,0.3956892422693326,0.39890837850494953,0.1578437540255116,0.3972988103871411,129,2.6875,1,0.8152,3.385,0,-21.119,4.119,-2.485,60.0
DeusExMachina__5OA__42pIKO-Auro3D,DeusExMachina,5OA,42pIKO-Auro3D,42pIKO->Auro-3D,Channel/Object,42pIKO,NA,0,1.08193,4.45559,1.08193,0.582812,45.2678,65.5768,40,6350.08,0.000102764,0.0536532,0.312,0.2862102120458576,0.2778097494834182,0.0795119873080557,0.2820099807646379,-24476,-509.9167,1,0.7228,2.616,0,-19.594,2.594,-3.114,60.0
DeusExMachina__5OA__42pIKO-Sony360RA,DeusExMachina,5OA,42pIKO-Sony360RA,42pIKO->Sony 360RA,Channel/Object,42pIKO,NA,0,9.05507,3.60412,9.05507,0.751508,30.592,33.5575,63,3885.57,9.11199e-05,0.0311291,0.248424,0.3365591706466112,0.31979030215771553,0.10762835887502994,0.3281747364021634,17,0.3542,1,0.6847,2.352,0,-23.621,6.621,-2.078,60.0
