pair_id,item,anchor,variant,label,family,chain,ambisonic_order,is_anchor,SNR_dc,SNR_ac,SNR_dc_fix,SNR_ac_fix,OPM,OPM_fix,binQ,ILDdiff,ITDdiff,IVSdiff,overall_measure,vnsim_0,vnsim_1,LS,LS_mean,lag_samples,lag_ms,polarity,gcc_corr,gcc_peak_ratio,residual_lag_samples,lufs_before,gain_db,true_peak_dbtp_after,analysed_duration_s
BigBand__Atmos__42pIKO-Sony360RA,BigBand,Atmos,42pIKO-Sony360RA,42pIKO->Sony 360RA,Channel/Object,42pIKO,NA,0,1.42332,2.95655,1.42332,1.25818,49.4305,56.9696,58,4158.59,7.76073e-05,0.0419195,0.4524,0.40816852590746716,0.34905964158486175,0.14247515935948185,0.37861408374616445,15,0.3125,1,0.8795,2.93,0,-34.098,17.098,3.057,60.0
KWARTET__7OA__7OA,KWARTET,7OA,7OA,7OA ref.,Ambisonics,direct,7,1,0,0,0,0,715.4,725.564,100,0,0,0,0.722634,1.0,1.0,1.0,1.0,0,0.0,1,1.0,3.108,0,-24.394,7.394,-0.963,60.0
KWARTET__7OA__5OA,KWARTET,7OA,5OA,5OA,Ambisonics,direct,5,0,0.94444,1.41112,0.94444,0.801179,60.4394,64.7202,97,367.445,6.2215e-06,0.00177475,0.533674,0.6979338160835412,0.691813180985292,0.48283981342195836,0.6948734985344166,-1,-0.0208,1,0.9909,3.09,0,-24.379,7.379,-1.151,60.0
KWARTET__7OA__3OA-IAMF,KWARTET,7OA,3OA-IAMF,3OA-IAMF,Ambisonics,direct,3,0,1.80227,2.1857,1.80227,1.40142,51.0944,53.7571,80,2496.31,5.5351e-05,0.0165496,0.45307,0.35910352707836374,0.35823601275664246,0.12864381570740002,0.3586697699175031,27,0.5625,1,0.7769,2.105,0,-22.74,5.74,-0.271,60.0
KWARTET__7OA__2OA-TBE,KWARTET,7OA,2OA-TBE,2OA-TBE,Ambisonics,direct,2,0,1.46615,2.8526,1.46615,1.07393,49.68,57.9478,60,3161.13,6.26528e-05,0.0519548,0.468,0.4269313613502936,0.42422441485082446,0.1811147069502942,0.425577888100559,3569,74.3542,1,0.8583,2.823,0,-18.566,1.566,-0.598,60.0
KWARTET__7OA__1OA-YT,KWARTET,7OA,1OA-YT,1OA-YT,Ambisonics,direct,1,0,1.26376,2.87355,1.26376,1.13178,50.4418,59.0057,76,2768.13,4.97798e-05,0.0218158,0.493528,0.3002545617698421,0.3067787753538099,0.09211172675414703,0.303516668561826,55,1.1458,-1,0.7347,1.381,0,-23.184,6.184,0.219,60.0
KWARTET__7OA__42pIKO,KWARTET,7OA,42pIKO,42pIKO,Ambisonics,42pIKO,NA,0,1.53851,0.990298,1.53851,0.879615,59.1798,58.8362,92,791.539,2.0589e-05,0.0094462,0.492279,0.7678647896651657,0.7983849797959228,0.6130517145828238,0.7831248847305443,0,0.0,1,0.9946,3.092,0,-23.5,6.5,-0.266,60.0
KWARTET__7OA__Atmos,KWARTET,7OA,Atmos,Dolby Atmos,Channel/Object,direct,NA,0,1.36662,3.41225,1.36662,1.35263,47.8831,56.7173,56,5111.14,0.000110397,0.0275848,0.4368,0.40255020957696724,0.3879444556268943,0.15616712191682877,0.3952473326019308,131,2.7292,1,0.8871,3.286,0,-21.988,4.988,0.261,60.0
KWARTET__7OA__Auro3D,KWARTET,7OA,Auro3D,Auro-3D,Channel/Object,direct,NA,0,1.10692,3.16891,1.10692,1.29887,49.8573,58.9287,30,6026.65,0.000123633,0.0840737,0.234,0.3843609117439527,0.40778697951209303,0.15673737524258063,0.3960739456280229,131,2.7292,1,0.941,2.8,0,-19.974,2.974,-0.487,60.0
KWARTET__7OA__Sony360RA,KWARTET,7OA,Sony360RA,Sony 360RA,Channel/Object,direct,NA,0,3.34625,4.31691,3.34625,1.19382,39.5014,47.4622,34,6386.06,0.000127169,0.0633723,0.2652,0.32361408521987456,0.3374780875206899,0.10921266257476084,0.33054608637028227,19,0.3958,1,0.8887,2.865,0,-26.158,9.158,0.146,60.0
KWARTET__7OA__42pIKO-Atmos,KWARTET,7OA,42pIKO-Atmos,42pIKO->Atmos,Channel/Object,42pIKO,NA,0,1.67065,2.92505,1.67065,1.405,48.5768,54.4935,65,4648.56,6.40328e-05,0.0219359,0.458978,0.39114300969159044,0.4260373809579217,0.16664154342900417,0.40859019532475604,130,2.7083,1,0.9349,2.765,0,-18.894,1.894,-0.068,60.0
KWARTET__7OA__42pIKO-Auro3D,KWARTET,7OA,42pIKO-Auro3D,42pIKO->Auro-3D,Channel/Object,42pIKO,NA,0,1.662,4.8058,1.662,0.868762,42.5115,58.0142,22,8265.27,0.0001495,0.0636612,0.1716,0.323152959888123,0.33145264412425235,0.10710990301149682,0.32730280200618767,-24477,-509.9375,1,0.8625,2.907,0,-21.551,4.551,-1.592,60.0
KWARTET__7OA__42pIKO-Sony360RA,KWARTET,7OA,42pIKO-Sony360RA,42pIKO->Sony 360RA,Channel/Object,42pIKO,NA,0,2.79146,2.79223,2.79146,1.53235,45.1205,48.3434,61,3558.51,8.33935e-05,0.0428137,0.406971,0.3871198530696109,0.41671870630962793,0.16132008435794148,0.4019192796896194,17,0.3542,1,0.8927,2.935,0,-24.932,7.932,-1.328,60.0
KWARTET__5OA__7OA,KWARTET,5OA,7OA,7OA ref.,Ambisonics,direct,7,0,0.94444,1.39288,0.94444,0.822376,60.5775,64.5023,97,367.445,6.2215e-06,0.00177475,0.532209,0.6979338160835412,0.691813180985292,0.48283981342195836,0.6948734985344166,0,0.0,1,1.0,3.108,0,-24.394,7.394,-0.963,60.0
KWARTET__5OA__5OA,KWARTET,5OA,5OA,5OA,Ambisonics,direct,5,1,0,0,0,0,715.4,725.564,100,0,0,0,0.722634,1.0,1.0,1.0,1.0,-1,-0.0208,1,0.9909,3.09,0,-24.379,7.379,-1.151,60.0
KWARTET__5OA__3OA-IAMF,KWARTET,5OA,3OA-IAMF,3OA-IAMF,Ambisonics,direct,3,0,1.74906,2.08111,1.74906,1.44747,51.8109,53.7975,80,2490.89,5.56741e-05,0.0164951,0.453396,0.3677460383625179,0.3643448641096186,0.13398638037404217,0.36604545123606824,27,0.5625,1,0.7769,2.105,0,-22.74,5.74,-0.271,60.0
KWARTET__5OA__2OA-TBE,KWARTET,5OA,2OA-TBE,2OA-TBE,Ambisonics,direct,2,0,1.24694,2.76523,1.24694,1.07151,50.987,59.5963,59,3311.21,6.20842e-05,0.0530882,0.4602,0.42878692604135443,0.42559682974112817,0.18249035635764405,0.4271918778912413,3569,74.3542,1,0.8583,2.823,0,-18.566,1.566,-0.598,60.0
KWARTET__5OA__1OA-YT,KWARTET,5OA,1OA-YT,1OA-YT,Ambisonics,direct,1,0,1.25962,2.79422,1.25962,1.16905,50.8035,58.7577,76,2729.46,5.15761e-05,0.0215026,0.491699,0.3016254875331857,0.308755381344913,0.09312849242665404,0.30519043443904936,55,1.1458,-1,0.7347,1.381,0,-23.184,6.184,0.219,60.0
KWARTET__5OA__42pIKO,KWARTET,5OA,42pIKO,42pIKO,Ambisonics,42pIKO,NA,0,1.56969,1.46,1.56969,0.985302,55.9723,57.8422,92,740.311,2.04857e-05,0.00943573,0.484879,0.6585032667059125,0.6541745637986606,0.43077608725733335,0.6563389152522865,0,0.0,1,0.9946,3.092,0,-23.5,6.5,-0.266,60.0
KWARTET__5OA__Atmos,KWARTET,5OA,Atmos,Dolby Atmos,Channel/Object,direct,NA,0,1.39167,3.34827,1.39167,1.41779,48.0283,56.128,55,5239.08,0.000110398,0.0278352,0.429,0.388633486494906,0.3906895330590875,0.15183503536982,0.38966150977699676,131,2.7292,1,0.8871,3.286,0,-21.988,4.988,0.261,60.0
KWARTET__5OA__Auro3D,KWARTET,5OA,Auro3D,Auro-3D,Channel/Object,direct,NA,0,1.13839,3.09196,1.13839,1.31249,50.0471,58.5933,29,6161.7,0.000122574,0.0853271,0.2262,0.3758365631546468,0.4065943909238351,0.1528130384827711,0.391215477039241,131,2.7292,1,0.941,2.8,0,-19.974,2.974,-0.487,60.0
KWARTET__5OA__Sony360RA,KWARTET,5OA,Sony360RA,Sony 360RA,Channel/Object,direct,NA,0,3.27848,4.27888,3.27848,1.2004,39.7482,47.7072,34,6401.22,0.000126016,0.0638654,0.2652,0.33158152825515125,0.3395945378261443,0.1126032758394947,0.33558803304064777,19,0.3958,1,0.8887,2.865,0,-26.158,9.158,0.146,60.0
KWARTET__5OA__42pIKO-Atmos,KWARTET,5OA,42pIKO-Atmos,42pIKO->Atmos,Channel/Object,42pIKO,NA,0,1.59829,2.81517,1.59829,1.46811,49.295,54.5479,65,4631.19,6.33776e-05,0.0220111,0.459412,0.4041100093786278,0.4309455015185581,0.17414939066034196,0.41752775544859294,130,2.7083,1,0.9349,2.765,0,-18.894,1.894,-0.068,60.0
KWARTET__5OA__42pIKO-Auro3D,KWARTET,5OA,42pIKO-Auro3D,42pIKO->Auro-3D,Channel/Object,42pIKO,NA,0,1.66295,4.76226,1.66295,0.856472,42.6288,58.0953,21,8366.41,0.000148171,0.0646069,0.1638,0.32168465149434017,0.3323352404694653,0.10690714600970767,0.3270099459819027,-24477,-509.9375,1,0.8625,2.907,0,-21.551,4.551,-1.592,60.0
KWARTET__5OA__42pIKO-Sony360RA,KWARTET,5OA,42pIKO-Sony360RA,42pIKO->Sony 360RA,Channel/Object,42pIKO,NA,0,2.70643,2.68123,2.70643,1.57511,45.7548,48.5208,61,3564.01,8.29785e-05,0.0429717,0.408562,0.37866473323828714,0.4084694029472811,0.1546729575030346,0.39356706809278413,17,0.3542,1,0.8927,2.935,0,-24.932,7.932,-1.328,60.0
KWARTET__Atmos__7OA,KWARTET,Atmos,7OA,7OA ref.,Ambisonics,direct,7,0,1.36662,3.10847,1.36662,1.31258,49.0488,56.9852,56,5111.14,0.000110397,0.0275848,0.4368,0.40255020957696724,0.3879444556268943,0.15616712191682877,0.3952473326019308,0,0.0,1,1.0,3.108,0,-24.394,7.394,-0.963,60.0
KWARTET__Atmos__5OA,KWARTET,Atmos,5OA,5OA,Ambisonics,direct,5,0,1.39167,3.06405,1.39167,1.35767,49.1258,56.5185,55,5239.08,0.000110398,0.0278352,0.429,0.388633486494906,0.3906895330590875,0.15183503536982,0.38966150977699676,-1,-0.0208,1,0.9909,3.09,0,-24.379,7.379,-1.151,60.0
KWARTET__Atmos__3OA-IAMF,KWARTET,Atmos,3OA-IAMF,3OA-IAMF,Ambisonics,direct,3,0,1.24456,3.0021,1.24456,1.34839,49.9788,57.576,53,5829.19,9.79723e-05,0.0280104,0.4134,0.3522372570581031,0.3346738670950692,0.11788460495459532,0.3434555620765861,27,0.5625,1,0.7769,2.105,0,-22.74,5.74,-0.271,60.0
KWARTET__Atmos__2OA-TBE,KWARTET,Atmos,2OA-TBE,2OA-TBE,Ambisonics,direct,2,0,1.14398,2.51221,1.14398,1.23556,52.6361,59.1267,47,4708.88,9.86279e-05,0.0591897,0.3666,0.3783790192244971,0.34615090187138603,0.13097623875377018,0.36226496054794155,3569,74.3542,1,0.8583,2.823,0,-18.566,1.566,-0.598,60.0
KWARTET__Atmos__1OA-YT,KWARTET,Atmos,1OA-YT,1OA-YT,Ambisonics,direct,1,0,1.07663,2.56901,1.07663,1.31303,52.6873,59.0501,53,5558.1,0.000107435,0.0302473,0.4134,0.29780224606073924,0.30047285297326787,0.08948149049571744,0.29913754951700355,55,1.1458,-1,0.7347,1.381,0,-23.184,6.184,0.219,60.0
KWARTET__Atmos__42pIKO,KWARTET,Atmos,42pIKO,42pIKO,Ambisonics,42pIKO,NA,0,2.4694,3.10391,2.4694,1.26119,45.1535,51.0079,58,5118.43,0.000105564,0.0244971,0.430271,0.41690832995067034,0.38967763856930554,0.1624598535150501,0.40329298425998794,0,0.0,1,0.9946,3.092,0,-23.5,6.5,-0.266,60.0
KWARTET__Atmos__Atmos,KWARTET,Atmos,Atmos,Dolby Atmos,Channel/Object,direct,NA,1,0,0,0,0,715.4,725.564,100,0,0,0,0.722634,1.0,1.0,1.0,1.0,131,2.7292,1,0.8871,3.286,0,-21.988,4.988,0.261,60.0
KWARTET__Atmos__Auro3D,KWARTET,Atmos,Auro3D,Auro-3D,Channel/Object,direct,NA,0,1.36148,2.41414,1.36148,1.31948,52.0656,56.9733,42,4445.51,8.68972e-05,0.0794771,0.3276,0.564874041633769,0.4999434314176415,0.28240506669313814,0.5324087365257053,131,2.7292,1,0.941,2.8,0,-19.974,2.974,-0.487,60.0
KWARTET__Atmos__Sony360RA,KWARTET,Atmos,Sony360RA,Sony 360RA,Channel/Object,direct,NA,0,1.67465,3.94233,1.67465,0.968251,45.0149,57.2314,38,6428.23,9.32802e-05,0.0587214,0.2964,0.34484481055499117,0.3189220182650135,0.10997860297041401,0.33188341441000235,19,0.3958,1,0.8887,2.865,0,-26.158,9.158,0.146,60.0
KWARTET__Atmos__42pIKO-Atmos,KWARTET,Atmos,42pIKO-Atmos,42pIKO->Atmos,Channel/Object,42pIKO,NA,0,0.998577,1.91298,0.998577,1.33657,56.6782,59.4667,49,6836.68,9.50845e-05,0.0265886,0.3822,0.5101570749909597,0.46652085616552585,0.23799891540368293,0.4883389655782428,130,2.7083,1,0.9349,2.765,0,-18.894,1.894,-0.068,60.0
KWARTET__Atmos__42pIKO-Auro3D,KWARTET,Atmos,42pIKO-Auro3D,42pIKO->Auro-3D,Channel/Object,42pIKO,NA,0,1.27263,3.96224,1.27263,1.00746,46.2654,59.8976,35,6541.92,0.000121266,0.0580611,0.273,0.4306285857972829,0.39384083919746976,0.1695991236128215,0.4122347124973763,-24477,-509.9375,1,0.8625,2.907,0,-21.551,4.551,-1.592,60.0
KWARTET__Atmos__42pIKO-Sony360RA,KWARTET,Atmos,42pIKO-Sony360RA,42pIKO->Sony 360RA,Channel/Object,42pIKO,NA,0,1.97613,3.15336,1.97613,1.13872,46.6264,54.2648,53,5181.01,9.68407e-05,0.0369261,0.4134,0.38801481368849317,0.3592536771354006,0.13939574860059853,0.3736342454119469,17,0.3542,1,0.8927,2.935,0,-24.932,7.932,-1.328,60.0
