pair_id,item,anchor,variant,segment,is_anchor,overall_measure,binQ,ILDdiff,ITDdiff,LS,LS_mean,vnsim_0,vnsim_1
KWARTET__7OA__Atmos__seg1,KWARTET,7OA,Atmos,1,0,0.441938,60,4244.85,0.000124693,0.15381739988051907,0.39253737559292895,0.40891392458424913,0.37616082660160877
KWARTET__7OA__Sony360RA__seg1,KWARTET,7OA,Sony360RA,1,0,0.2886,37,5582.5,0.000147829,0.1073478355740542,0.32768478334434853,0.32225508156815086,0.3331144851205462
KWARTET__7OA__42pIKO-Auro3D__seg1,KWARTET,7OA,42pIKO-Auro3D,1,0,0.1638,21,7794.81,0.000191356,0.09971540673237463,0.31577851981330674,0.31496191519152955,0.31659512443508386
DeusExMachina__7OA__7OA__seg2,DeusExMachina,7OA,7OA,2,1,0.722634,100,0,0,1.0,1.0,1.0,1.0
DeusExMachina__7OA__3OA-IAMF__seg2,DeusExMachina,7OA,3OA-IAMF,2,0,0.391658,79,2288.61,8.54701e-05,0.14173462427066782,0.3765233568387978,0.38245749321141376,0.37058922046618176
DeusExMachina__7OA__1OA-YT__seg2,DeusExMachina,7OA,1OA-YT,2,0,0.468,60,2753.46,0.000173312,0.09998474308913836,0.3162456062314267,0.321397341040617,0.3110938714222364
DeusExMachina__7OA__Atmos__seg2,DeusExMachina,7OA,Atmos,2,0,0.468,60,5007.1,9.43323e-05,0.10709511646933942,0.32725780158923534,0.325660231033707,0.3288553721447636
DeusExMachina__7OA__Sony360RA__seg2,DeusExMachina,7OA,Sony360RA,2,0,0.329565,47,6886.49,0.00011296,0.06560203401580178,0.2561332976227353,0.2576273308535922,0.25463926439187834
DeusExMachina__7OA__42pIKO-Auro3D__seg2,DeusExMachina,7OA,42pIKO-Auro3D,2,0,0.3042,39,6350.95,0.000102478,0.07872926374826761,0.2805983590416209,0.283083383907249,0.2781133341759928
BigBand__7OA__7OA__seg2,BigBand,7OA,7OA,2,1,0.722634,100,0,0,1.0,1.0,1.0,1.0
BigBand__7OA__3OA-IAMF__seg2,BigBand,7OA,3OA-IAMF,2,0,0.48673,86,1646.97,3.35122e-05,0.14456603002953056,0.3802186712469121,0.3797626720836634,0.38067467041016084
BigBand__7OA__1OA-YT__seg2,BigBand,7OA,1OA-YT,2,0,0.484241,81,2128.74,4.35786e-05,0.10069479933837568,0.31735644989763645,0.32186388300921315,0.3128490167860597
BigBand__7OA__Atmos__seg2,BigBand,7OA,Atmos,2,0,0.504861,68,4338.28,5.95564e-05,0.1628429645315529,0.4051578594438044,0.44135076672593165,0.36896495216167713
BigBand__7OA__Sony360RA__seg2,BigBand,7OA,Sony360RA,2,0,0.2808,36,6647.45,9.2737e-05,0.1354267420983722,0.3680340439220007,0.3633101274103596,0.3727579604336418
BigBand__7OA__42pIKO-Auro3D__seg2,BigBand,7OA,42pIKO-Auro3D,2,0,0.2496,32,6323.05,9.3735e-05,0.11595657719463269,0.34078737881349475,0.35418366053416994,0.3273910970928196
KWARTET__7OA__7OA__seg2,KWARTET,7OA,7OA,2,1,0.722634,100,0,0,1.0,1.0,1.0,1.0
KWARTET__7OA__3OA-IAMF__seg2,KWARTET,7OA,3OA-IAMF,2,0,0.45307,80,2496.31,5.5351e-05,0.12864381570740002,0.3586697699175031,0.35910352707836374,0.35823601275664246
KWARTET__7OA__1OA-YT__seg2,KWARTET,7OA,1OA-YT,2,0,0.493528,76,2768.13,4.97798e-05,0.09211172675414703,0.303516668561826,0.3002545617698421,0.3067787753538099
KWARTET__7OA__Atmos__seg2,KWARTET,7OA,Atmos,2,0,0.4368,56,5111.14,0.000110397,0.15616712191682877,0.3952473326019308,0.40255020957696724,0.3879444556268943
KWARTET__7OA__Sony360RA__seg2,KWARTET,7OA,Sony360RA,2,0,0.2652,34,6386.06,0.000127169,0.10921266257476084,0.33054608637028227,0.32361408521987456,0.3374780875206899
KWARTET__7OA__42pIKO-Auro3D__seg2,KWARTET,7OA,42pIKO-Auro3D,2,0,0.1716,22,8265.27,0.0001495,0.10710990301149682,0.32730280200618767,0.323152959888123,0.33145264412425235
DeusExMachina__7OA__7OA__seg3,DeusExMachina,7OA,7OA,3,1,0.722634,100,0,0,1.0,1.0,1.0,1.0
DeusExMachina__7OA__3OA-IAMF__seg3,DeusExMachina,7OA,3OA-IAMF,3,0,0.391416,81,2022.36,6.4246e-05,0.13777728015873644,0.37121711142650543,0.376203458496467,0.36623076435654384
DeusExMachina__7OA__1OA-YT__seg3,DeusExMachina,7OA,1OA-YT,3,0,0.499924,65,2422.89,0.00014409,0.0946400717853651,0.3076858011754052,0.31320671229458685,0.3021648900562236
DeusExMachina__7OA__Atmos__seg3,DeusExMachina,7OA,Atmos,3,0,0.468,60,4794.63,7.58448e-05,0.10334732446960705,0.3214797186483223,0.3228526835413264,0.3201067537553182
DeusExMachina__7OA__Sony360RA__seg3,DeusExMachina,7OA,Sony360RA,3,0,0.3407,49,6747.11,8.17142e-05,0.06609764526594637,0.25709507649516905,0.25757787263273635,0.25661228035760175
DeusExMachina__7OA__42pIKO-Auro3D__seg3,DeusExMachina,7OA,42pIKO-Auro3D,3,0,0.312,40,5911.38,9.01912e-05,0.07865041156276571,0.28044703516575636,0.2800893055230486,0.2808047648084641
BigBand__7OA__7OA__seg3,BigBand,7OA,7OA,3,1,0.722634,100,0,0,1.0,1.0,1.0,1.0
BigBand__7OA__3OA-IAMF__seg3,BigBand,7OA,3OA-IAMF,3,0,0.477797,86,1690.29,3.2298e-05,0.14920968577877905,0.3862789451860207,0.3875971694635022,0.3849607209085392
BigBand__7OA__1OA-YT__seg3,BigBand,7OA,1OA-YT,3,0,0.497784,79,2361.19,3.99681e-05,0.10086600420588977,0.3176053637097719,0.3202817140842035,0.31492901333534035
BigBand__7OA__Atmos__seg3,BigBand,7OA,Atmos,3,0,0.4212,54,6090.4,6.2107e-05,0.15126314734380708,0.38992549561827605,0.4178314947824544,0.36201949645409764
BigBand__7OA__Sony360RA__seg3,BigBand,7OA,Sony360RA,3,0,0.195,25,7831.73,9.82475e-05,0.1353743435536397,0.36846731762422136,0.34862240382876436,0.3883122314196783
BigBand__7OA__42pIKO-Auro3D__seg3,BigBand,7OA,42pIKO-Auro3D,3,0,0.2028,26,7500.65,8.77832e-05,0.11836302592093689,0.3440543603985702,0.34083302708263924,0.3472756937145011
KWARTET__7OA__7OA__seg3,KWARTET,7OA,7OA,3,1,0.722634,100,0,0,1.0,1.0,1.0,1.0
KWARTET__7OA__3OA-IAMF__seg3,KWARTET,7OA,3OA-IAMF,3,0,0.477221,76,2950.24,6.50512e-05,0.12881517511330906,0.35890831891045594,0.358829136712401,0.3589875011085109
KWARTET__7OA__1OA-YT__seg3,KWARTET,7OA,1OA-YT,3,0,0.501135,74,3188.19,5.71126e-05,0.09375083829154607,0.3062083881904495,0.3026392557122526,0.30977752066864633
KWARTET__7OA__Atmos__seg3,KWARTET,7OA,Atmos,3,0,0.3744,48,5954.51,0.000133671,0.16272196005171136,0.40353578254155686,0.4144521802860181,0.39261938479709557
KWARTET__7OA__Sony360RA__seg3,KWARTET,7OA,Sony360RA,3,0,0.234,30,7073.43,0.00015941,0.11451444781170508,0.33848938427781505,0.33070379136081335,0.34627497719481676
KWARTET__7OA__42pIKO-Auro3D__seg3,KWARTET,7OA,42pIKO-Auro3D,3,0,0.156,20,8695.22,0.000179919,0.11287796150412231,0.3359980757190551,0.33190596345451845,0.34009018798359175
DeusExMachina__7OA__7OA__seg4,DeusExMachina,7OA,7OA,4,1,0.722634,100,0,0,1.0,1.0,1.0,1.0
DeusExMachina__7OA__3OA-IAMF__seg4,DeusExMachina,7OA,3OA-IAMF,4,0,0.385103,82,2053.15,6.51895e-05,0.13788574492266842,0.3713710270706276,0.3769113181121156,0.36583073602913957
DeusExMachina__7OA__1OA-YT__seg4,DeusExMachina,7OA,1OA-YT,4,0,0.498131,68,2355.3,0.000127838,0.09648254110760246,0.3107001083517781,0.31791233562247434,0.3034878810810818
DeusExMachina__7OA__Atmos__seg4,DeusExMachina,7OA,Atmos,4,0,0.478999,63,4532.83,7.12804e-05,0.10561033998567206,0.3249844629165879,0.327120148172194,0.32284877766098175
DeusExMachina__7OA__Sony360RA__seg4,DeusExMachina,7OA,Sony360RA,4,0,0.350035,54,6278.69,7.28575e-05,0.06405310318920508,0.25308742936753414,0.2534665265338195,0.2527083322012487
DeusExMachina__7OA__42pIKO-Auro3D__seg4,DeusExMachina,7OA,42pIKO-Auro3D,4,0,0.3198,41,6195.37,9.0313e-05,0.07643810206362107,0.27647442590407556,0.27655262671679065,0.2763962250913605
BigBand__7OA__7OA__seg4,BigBand,7OA,7OA,4,1,0.722634,100,0,0,1.0,1.0,1.0,1.0
BigBand__7OA__3OA-IAMF__seg4,BigBand,7OA,3OA-IAMF,4,0,0.499169,88,1409.92,1.65224e-05,0.14138349605643014,0.3760139464321755,0.37774364440258196,0.37428424846176905
BigBand__7OA__1OA-YT__seg4,BigBand,7OA,1OA-YT,4,0,0.503916,82,2035.99,2.18633e-05,0.10033911569084411,0.3167650937665545,0.3177695528697335,0.3157606346633755
BigBand__7OA__Atmos__seg4,BigBand,7OA,Atmos,4,0,0.526029,72,3861.97,3.02807e-05,0.1512946313602342,0.38938265617705653,0.40738880988254383,0.3713765024715692
