pair_id,item,anchor,variant,label,family,chain,ambisonic_order,is_anchor,ref_path,test_path,duration_s
DeusExMachina__5OA__42pIKO,DeusExMachina,5OA,42pIKO,42pIKO,Ambisonics,42pIKO,NA,0,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/DeusExMachina/DeusExMachina_5OA.wav,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/DeusExMachina/DeusExMachina_42pIKO.wav,60.0
DeusExMachina__5OA__Atmos,DeusExMachina,5OA,Atmos,Dolby Atmos,Channel/Object,direct,NA,0,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/DeusExMachina/DeusExMachina_5OA.wav,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/DeusExMachina/DeusExMachina_Atmos.wav,60.0
DeusExMachina__5OA__Auro3D,DeusExMachina,5OA,Auro3D,Auro-3D,Channel/Object,direct,NA,0,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/DeusExMachina/DeusExMachina_5OA.wav,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/DeusExMachina/DeusExMachina_Auro3D.wav,60.0
DeusExMachina__5OA__Sony360RA,DeusExMachina,5OA,Sony360RA,Sony 360RA,Channel/Object,direct,NA,0,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/DeusExMachina/DeusExMachina_5OA.wav,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/DeusExMachina/DeusExMachina_Sony360RA.wav,60.0
DeusExMachina__5OA__42pIKO-Atmos,DeusExMachina,5OA,42pIKO-Atmos,42pIKO->Atmos,Channel/Object,42pIKO,NA,0,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/DeusExMachina/DeusExMachina_5OA.wav,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/DeusExMachina/DeusExMachina_42pIKO-Atmos.wav,60.0
DeusExMachina__5OA__42pIKO-Auro3D,DeusExMachina,5OA,42pIKO-Auro3D,42pIKO->Auro-3D,Channel/Object,42pIKO,NA,0,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/DeusExMachina/DeusExMachina_5OA.wav,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/DeusExMachina/DeusExMachina_42pIKO-Auro3D.wav,60.0
DeusExMachina__5OA__42pIKO-Sony360RA,DeusExMachina,5OA,42pIKO-Sony360RA,42pIKO->Sony 360RA,Channel/Object,42pIKO,NA,0,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/DeusExMachina/DeusExMachina_5OA.wav,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/DeusExMachina/DeusExMachina_42pIKO-Sony360RA.wav,60.0
DeusExMachina__Atmos__7OA,DeusExMachina,Atmos,7OA,7OA ref.,Ambisonics,direct,7,0,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/DeusExMachina/DeusExMachina_Atmos.wav,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/DeusExMachina/DeusExMachina_7OA.wav,60.0
DeusExMachina__Atmos__5OA,DeusExMachina,Atmos,5OA,5OA,Ambisonics,direct,5,0,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/DeusExMachina/DeusExMachina_Atmos.wav,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/DeusExMachina/DeusExMachina_5OA.wav,60.0
DeusExMachina__Atmos__3OA-IAMF,DeusExMachina,Atmos,3OA-IAMF,3OA-IAMF,Ambisonics,direct,3,0,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/DeusExMachina/DeusExMachina_Atmos.wav,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/DeusExMachina/DeusExMachina_3OA-IAMF.wav,60.0
DeusExMachina__Atmos__2OA-TBE,DeusExMachina,Atmos,2OA-TBE,2OA-TBE,Ambisonics,direct,2,0,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/DeusExMachina/DeusExMachina_Atmos.wav,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/DeusExMachina/DeusExMachina_2OA-TBE.wav,60.0
DeusExMachina__Atmos__1OA-YT,DeusExMachina,Atmos,1OA-YT,1OA-YT,Ambisonics,direct,1,0,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/DeusExMachina/DeusExMachina_Atmos.wav,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/DeusExMachina/DeusExMachina_1OA-YT.wav,60.0
DeusExMachina__Atmos__42pIKO,DeusExMachina,Atmos,42pIKO,42pIKO,Ambisonics,42pIKO,NA,0,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/DeusExMachina/DeusExMachina_Atmos.wav,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/DeusExMachina/DeusExMachina_42pIKO.wav,60.0
DeusExMachina__Atmos__Atmos,DeusExMachina,Atmos,Atmos,Dolby Atmos,Channel/Object,direct,NA,1,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/DeusExMachina/DeusExMachina_Atmos.wav,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/DeusExMachina/DeusExMachina_Atmos.wav,60.0
DeusExMachina__Atmos__Auro3D,DeusExMachina,Atmos,Auro3D,Auro-3D,Channel/Object,direct,NA,0,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/DeusExMachina/DeusExMachina_Atmos.wav,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/DeusExMachina/DeusExMachina_Auro3D.wav,60.0
DeusExMachina__Atmos__Sony360RA,DeusExMachina,Atmos,Sony360RA,Sony 360RA,Channel/Object,direct,NA,0,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/DeusExMachina/DeusExMachina_Atmos.wav,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/DeusExMachina/DeusExMachina_Sony360RA.wav,60.0
DeusExMachina__Atmos__42pIKO-Atmos,DeusExMachina,Atmos,42pIKO-Atmos,42pIKO->Atmos,Channel/Object,42pIKO,NA,0,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/DeusExMachina/DeusExMachina_Atmos.wav,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/DeusExMachina/DeusExMachina_42pIKO-Atmos.wav,60.0
DeusExMachina__Atmos__42pIKO-Auro3D,DeusExMachina,Atmos,42pIKO-Auro3D,42pIKO->Auro-3D,Channel/Object,42pIKO,NA,0,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/DeusExMachina/DeusExMachina_Atmos.wav,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/DeusExMachina/DeusExMachina_42pIKO-Auro3D.wav,60.0
DeusExMachina__Atmos__42pIKO-Sony360RA,DeusExMachina,Atmos,42pIKO-Sony360RA,42pIKO->Sony 360RA,Channel/Object,42pIKO,NA,0,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/DeusExMachina/DeusExMachina_Atmos.wav,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/DeusExMachina/DeusExMachina_42pIKO-Sony360RA.wav,60.0
BigBand__7OA__7OA,BigBand,7OA,7OA,7OA ref.,Ambisonics,direct,7,1,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/BigBand/BigBand_7OA.wav,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/BigBand/BigBand_7OA.wav,60.0
BigBand__7OA__5OA,BigBand,7OA,5OA,5OA,Ambisonics,direct,5,0,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/BigBand/BigBand_7OA.wav,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/BigBand/BigBand_5OA.wav,60.0
BigBand__7OA__3OA-IAMF,BigBand,7OA,3OA-IAMF,3OA-IAMF,Ambisonics,direct,3,0,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/BigBand/BigBand_7OA.wav,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/BigBand/BigBand_3OA-IAMF.wav,60.0
BigBand__7OA__2OA-TBE,BigBand,7OA,2OA-TBE,2OA-TBE,Ambisonics,direct,2,0,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/BigBand/BigBand_7OA.wav,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/BigBand/BigBand_2OA-TBE.wav,60.0
BigBand__7OA__1OA-YT,BigBand,7OA,1OA-YT,1OA-YT,Ambisonics,direct,1,0,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/BigBand/BigBand_7OA.wav,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/BigBand/BigBand_1OA-YT.wav,60.0
BigBand__7OA__42pIKO,BigBand,7OA,42pIKO,42pIKO,Ambisonics,42pIKO,NA,0,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/BigBand/BigBand_7OA.wav,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/BigBand/BigBand_42pIKO.wav,60.0
BigBand__7OA__Atmos,BigBand,7OA,Atmos,Dolby Atmos,Channel/Object,direct,NA,0,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/BigBand/BigBand_7OA.wav,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/BigBand/BigBand_Atmos.wav,60.0
BigBand__7OA__Auro3D,BigBand,7OA,Auro3D,Auro-3D,Channel/Object,direct,NA,0,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/BigBand/BigBand_7OA.wav,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/BigBand/BigBand_Auro3D.wav,60.0
BigBand__7OA__Sony360RA,BigBand,7OA,Sony360RA,Sony 360RA,Channel/Object,direct,NA,0,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/BigBand/BigBand_7OA.wav,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/BigBand/BigBand_Sony360RA.wav,60.0
BigBand__7OA__42pIKO-Atmos,BigBand,7OA,42pIKO-Atmos,42pIKO->Atmos,Channel/Object,42pIKO,NA,0,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/BigBand/BigBand_7OA.wav,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/BigBand/BigBand_42pIKO-Atmos.wav,60.0
BigBand__7OA__42pIKO-Auro3D,BigBand,7OA,42pIKO-Auro3D,42pIKO->Auro-3D,Channel/Object,42pIKO,NA,0,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/BigBand/BigBand_7OA.wav,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/BigBand/BigBand_42pIKO-Auro3D.wav,60.0
BigBand__7OA__42pIKO-Sony360RA,BigBand,7OA,42pIKO-Sony360RA,42pIKO->Sony 360RA,Channel/Object,42pIKO,NA,0,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/BigBand/BigBand_7OA.wav,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/BigBand/BigBand_42pIKO-Sony360RA.wav,60.0
BigBand__5OA__7OA,BigBand,5OA,7OA,7OA ref.,Ambisonics,direct,7,0,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/BigBand/BigBand_5OA.wav,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/BigBand/BigBand_7OA.wav,60.0
BigBand__5OA__5OA,BigBand,5OA,5OA,5OA,Ambisonics,direct,5,1,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/BigBand/BigBand_5OA.wav,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/BigBand/BigBand_5OA.wav,60.0
BigBand__5OA__3OA-IAMF,BigBand,5OA,3OA-IAMF,3OA-IAMF,Ambisonics,direct,3,0,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/BigBand/BigBand_5OA.wav,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/BigBand/BigBand_3OA-IAMF.wav,60.0
BigBand__5OA__2OA-TBE,BigBand,5OA,2OA-TBE,2OA-TBE,Ambisonics,direct,2,0,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/BigBand/BigBand_5OA.wav,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/BigBand/BigBand_2OA-TBE.wav,60.0
BigBand__5OA__1OA-YT,BigBand,5OA,1OA-YT,1OA-YT,Ambisonics,direct,1,0,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/BigBand/BigBand_5OA.wav,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/BigBand/BigBand_1OA-YT.wav,60.0
BigBand__5OA__42pIKO,BigBand,5OA,42pIKO,42pIKO,Ambisonics,42pIKO,NA,0,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/BigBand/BigBand_5OA.wav,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/BigBand/BigBand_42pIKO.wav,60.0
BigBand__5OA__Atmos,BigBand,5OA,Atmos,Dolby Atmos,Channel/Object,direct,NA,0,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/BigBand/BigBand_5OA.wav,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/BigBand/BigBand_Atmos.wav,60.0
BigBand__5OA__Auro3D,BigBand,5OA,Auro3D,Auro-3D,Channel/Object,direct,NA,0,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/BigBand/BigBand_5OA.wav,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/BigBand/BigBand_Auro3D.wav,60.0
BigBand__5OA__Sony360RA,BigBand,5OA,Sony360RA,Sony 360RA,Channel/Object,direct,NA,0,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/BigBand/BigBand_5OA.wav,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/BigBand/BigBand_Sony360RA.wav,60.0
BigBand__5OA__42pIKO-Atmos,BigBand,5OA,42pIKO-Atmos,42pIKO->Atmos,Channel/Object,42pIKO,NA,0,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/BigBand/BigBand_5OA.wav,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/BigBand/BigBand_42pIKO-Atmos.wav,60.0
BigBand__5OA__42pIKO-Auro3D,BigBand,5OA,42pIKO-Auro3D,42pIKO->Auro-3D,Channel/Object,42pIKO,NA,0,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/BigBand/BigBand_5OA.wav,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/BigBand/BigBand_42pIKO-Auro3D.wav,60.0
BigBand__5OA__42pIKO-Sony360RA,BigBand,5OA,42pIKO-Sony360RA,42pIKO->Sony 360RA,Channel/Object,42pIKO,NA,0,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/BigBand/BigBand_5OA.wav,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/BigBand/BigBand_42pIKO-Sony360RA.wav,60.0
BigBand__Atmos__7OA,BigBand,Atmos,7OA,7OA ref.,Ambisonics,direct,7,0,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/BigBand/BigBand_Atmos.wav,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/BigBand/BigBand_7OA.wav,60.0
BigBand__Atmos__5OA,BigBand,Atmos,5OA,5OA,Ambisonics,direct,5,0,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/BigBand/BigBand_Atmos.wav,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/BigBand/BigBand_5OA.wav,60.0
BigBand__Atmos__3OA-IAMF,BigBand,Atmos,3OA-IAMF,3OA-IAMF,Ambisonics,direct,3,0,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/BigBand/BigBand_Atmos.wav,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/BigBand/BigBand_3OA-IAMF.wav,60.0
BigBand__Atmos__2OA-TBE,BigBand,Atmos,2OA-TBE,2OA-TBE,Ambisonics,direct,2,0,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/BigBand/BigBand_Atmos.wav,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/BigBand/BigBand_2OA-TBE.wav,60.0
BigBand__Atmos__1OA-YT,BigBand,Atmos,1OA-YT,1OA-YT,Ambisonics,direct,1,0,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/BigBand/BigBand_Atmos.wav,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/BigBand/BigBand_1OA-YT.wav,60.0
BigBand__Atmos__42pIKO,BigBand,Atmos,42pIKO,42pIKO,Ambisonics,42pIKO,NA,0,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/BigBand/BigBand_Atmos.wav,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/BigBand/BigBand_42pIKO.wav,60.0
BigBand__Atmos__Atmos,BigBand,Atmos,Atmos,Dolby Atmos,Channel/Object,direct,NA,1,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/BigBand/BigBand_Atmos.wav,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/BigBand/BigBand_Atmos.wav,60.0
BigBand__Atmos__Auro3D,BigBand,Atmos,Auro3D,Auro-3D,Channel/Object,direct,NA,0,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/BigBand/BigBand_Atmos.wav,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/BigBand/BigBand_Auro3D.wav,60.0
BigBand__Atmos__Sony360RA,BigBand,Atmos,Sony360RA,Sony 360RA,Channel/Object,direct,NA,0,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/BigBand/BigBand_Atmos.wav,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/BigBand/BigBand_Sony360RA.wav,60.0
BigBand__Atmos__42pIKO-Atmos,BigBand,Atmos,42pIKO-Atmos,42pIKO->Atmos,Channel/Object,42pIKO,NA,0,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/BigBand/BigBand_Atmos.wav,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/BigBand/BigBand_42pIKO-Atmos.wav,60.0
BigBand__Atmos__42pIKO-Auro3D,BigBand,Atmos,42pIKO-Auro3D,42pIKO->Auro-3D,Channel/Object,42pIKO,NA,0,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/BigBand/BigBand_Atmos.wav,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/BigBand/BigBand_42pIKO-Auro3D.wav,60.0
BigBand__Atmos__42pIKO-Sony360RA,BigBand,Atmos,42pIKO-Sony360RA,42pIKO->Sony 360RA,Channel/Object,42pIKO,NA,0,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/BigBand/BigBand_Atmos.wav,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/BigBand/BigBand_42pIKO-Sony360RA.wav,60.0
KWARTET__7OA__7OA,KWARTET,7OA,7OA,7OA ref.,Ambisonics,direct,7,1,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/KWARTET/KWARTET_7OA.wav,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/KWARTET/KWARTET_7OA.wav,60.0
KWARTET__7OA__5OA,KWARTET,7OA,5OA,5OA,Ambisonics,direct,5,0,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/KWARTET/KWARTET_7OA.wav,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/KWARTET/KWARTET_5OA.wav,60.0
KWARTET__7OA__3OA-IAMF,KWARTET,7OA,3OA-IAMF,3OA-IAMF,Ambisonics,direct,3,0,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/KWARTET/KWARTET_7OA.wav,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/KWARTET/KWARTET_3OA-IAMF.wav,60.0
KWARTET__7OA__2OA-TBE,KWARTET,7OA,2OA-TBE,2OA-TBE,Ambisonics,direct,2,0,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/KWARTET/KWARTET_7OA.wav,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/KWARTET/KWARTET_2OA-TBE.wav,60.0
KWARTET__7OA__1OA-YT,KWARTET,7OA,1OA-YT,1OA-YT,Ambisonics,direct,1,0,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/KWARTET/KWARTET_7OA.wav,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/KWARTET/KWARTET_1OA-YT.wav,60.0
KWARTET__7OA__42pIKO,KWARTET,7OA,42pIKO,42pIKO,Ambisonics,42pIKO,NA,0,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/KWARTET/KWARTET_7OA.wav,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/KWARTET/KWARTET_42pIKO.wav,60.0
KWARTET__7OA__Atmos,KWARTET,7OA,Atmos,Dolby Atmos,Channel/Object,direct,NA,0,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/KWARTET/KWARTET_7OA.wav,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/KWARTET/KWARTET_Atmos.wav,60.0
KWARTET__7OA__Auro3D,KWARTET,7OA,Auro3D,Auro-3D,Channel/Object,direct,NA,0,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/KWARTET/KWARTET_7OA.wav,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/KWARTET/KWARTET_Auro3D.wav,60.0
KWARTET__7OA__Sony360RA,KWARTET,7OA,Sony360RA,Sony 360RA,Channel/Object,direct,NA,0,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/KWARTET/KWARTET_7OA.wav,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/KWARTET/KWARTET_Sony360RA.wav,60.0
