pair_id,item,anchor,variant,label,family,chain,ambisonic_order,is_anchor,SNR_dc,SNR_ac,SNR_dc_fix,SNR_ac_fix,OPM,OPM_fix,binQ,ILDdiff,ITDdiff,IVSdiff,overall_measure,vnsim_0,vnsim_1,LS,LS_mean,lag_samples,lag_ms,polarity,gcc_corr,gcc_peak_ratio,residual_lag_samples,lufs_before,gain_db,true_peak_dbtp_after,analysed_duration_s
BigBand__7OA__1OA-YT,BigBand,7OA,1OA-YT,1OA-YT,Ambisonics,direct,1,0,1.55253,2.72467,1.55253,0.948474,49.8516,58.2278,80,2151.2,4.31958e-05,0.0198161,0.487764,0.23685220264665452,0.2340925272036296,0.055445330691301566,0.23547236492514206,46,0.9583,-1,0.7546,1.517,0,-31.168,14.168,2.289,60.0
BigBand__7OA__42pIKO,BigBand,7OA,42pIKO,42pIKO,Ambisonics,42pIKO,NA,0,1.91746,0.944862,1.91746,0.869989,56.9809,56.27,94,513.688,1.34542e-05,0.006579,0.472911,0.7799604738748688,0.7445169093170007,0.5806937613987405,0.7622386915959347,0,0.0,1,0.9939,3.263,0,-31.413,14.413,0.989,60.0
BigBand__7OA__Atmos,BigBand,7OA,Atmos,Dolby Atmos,Channel/Object,direct,NA,0,1.02733,3.24569,1.02733,0.97166,49.8689,62.2731,68,4329.86,5.95939e-05,0.0206831,0.516934,0.23112256529750622,0.22752795658915662,0.05258684500378551,0.22932526094333142,130,2.7083,1,0.9104,2.361,0,-28.96,11.96,1.177,60.0
BigBand__7OA__Auro3D,BigBand,7OA,Auro3D,Auro-3D,Channel/Object,direct,NA,0,0.845909,3.24367,0.845909,1.06135,50.6478,63.1213,37,5546.89,7.14751e-05,0.0773164,0.2886,0.23261237347962568,0.22845444824395147,0.053141331438003855,0.23053341086178858,131,2.7292,1,0.9267,2.941,0,-29.498,12.498,1.649,60.0
BigBand__7OA__Sony360RA,BigBand,7OA,Sony360RA,Sony 360RA,Channel/Object,direct,NA,0,1.97881,3.22981,1.97881,1.23178,46.3547,53.7182,36,6644.49,9.28882e-05,0.0596839,0.2808,0.2495484670399959,0.26277326822065933,0.06557466626355521,0.25616086763032764,18,0.375,1,0.8649,3.015,0,-35.269,18.269,2.708,60.0
BigBand__7OA__42pIKO-Atmos,BigBand,7OA,42pIKO-Atmos,42pIKO->Atmos,Channel/Object,42pIKO,NA,0,2.09853,2.85124,2.09853,1.08328,47.2594,53.8808,76,2947.76,4.67663e-05,0.0206535,0.454068,0.23379983762826723,0.23197856546554296,0.054236550939082306,0.2328892015469051,130,2.7083,1,0.9117,3.139,0,-27.865,10.865,2.727,60.0
BigBand__7OA__42pIKO-Auro3D,BigBand,7OA,42pIKO-Auro3D,42pIKO->Auro-3D,Channel/Object,42pIKO,NA,0,4.47276,9.27772,4.47276,9.94865e-11,29.1243,47.7319,36,5559.78,8.55069e-05,0.0773262,0.2808,0.2143227779389371,0.214710319737447,0.046017312178287036,0.21451654883819204,-24477,-509.9375,1,0.8324,3.008,0,-31.629,14.629,2.772,60.0
BigBand__7OA__42pIKO-Sony360RA,BigBand,7OA,42pIKO-Sony360RA,42pIKO->Sony 360RA,Channel/Object,42pIKO,NA,0,1.99726,2.32499,1.99726,1.29067,49.6656,53.2884,73,2496.72,5.40282e-05,0.0320282,0.449267,0.24857608491139493,0.25657275903253174,0.06377785193522148,0.25257442197196334,15,0.3125,1,0.8795,2.93,0,-34.098,17.098,3.057,60.0
KWARTET__7OA__7OA,KWARTET,7OA,7OA,7OA ref.,Ambisonics,direct,7,1,0,0,0,0,715.4,725.564,100,0,0,0,0.722634,1.0,1.0,1.0,1.0,0,0.0,1,1.0,3.108,0,-24.394,7.394,-0.963,60.0
KWARTET__7OA__5OA,KWARTET,7OA,5OA,5OA,Ambisonics,direct,5,0,0.944453,1.41112,0.944453,0.800703,60.4394,64.725,97,367.28,6.21324e-06,0.00178121,0.533706,0.644720554570277,0.636402449389581,0.4103017401003333,0.640561501979929,-1,-0.0208,1,0.9909,3.09,0,-24.379,7.379,-1.151,60.0
